T [K]	C_e [J/m^3/K]
27.8	17208.2
27.9	17270.1
28.0	17332.0
28.1	17393.9
28.2	17455.8
28.3	17517.7
28.4	17579.6
28.5	17641.5
28.6	17703.4
28.7	17765.3
28.8	17827.2
28.9	17889.1
29.0	17951.0
29.1	18012.9
29.2	18074.8
29.3	18136.7
29.4	18198.6
29.5	18260.5
29.6	18322.4
29.7	18384.3
29.8	18446.2
29.9	18508.1
30.0	18570.0
30.1	18631.9
30.2	18693.8
30.3	18755.7
30.4	18817.6
30.5	18879.5
30.6	18941.4
30.7	19003.3
30.8	19065.2
30.9	19127.1
31.0	19189.0
31.1	19250.9
31.2	19312.8
31.3	19374.7
31.4	19436.6
31.5	19498.5
31.6	19560.4
31.7	19622.3
31.8	19684.2
31.9	19746.1
32.0	19808.0
32.1	19869.9
32.2	19931.800000000003
32.3	19993.699999999997
32.4	20055.6
32.5	20117.5
32.6	20179.4
32.7	20241.300000000003
32.8	20303.199999999997
32.9	20365.1
33.0	20427.0
33.1	20488.9
33.2	20550.800000000003
33.3	20612.699999999997
33.4	20674.6
33.5	20736.5
33.6	20798.4
33.7	20860.300000000003
33.8	20922.199999999997
33.9	20984.1
34.0	21046.0
34.1	21107.9
34.2	21169.800000000003
34.3	21231.699999999997
34.4	21293.6
34.5	21355.5
34.6	21417.4
34.7	21479.300000000003
34.8	21541.199999999997
34.9	21603.1
35.0	21665.0
35.1	21726.9
35.2	21788.800000000003
35.3	21850.699999999997
35.4	21912.6
35.5	21974.5
35.6	22036.4
35.7	22098.300000000003
35.8	22160.199999999997
35.9	22222.1
36.0	22284.0
36.1	22345.9
36.2	22407.800000000003
36.3	22469.699999999997
36.4	22531.6
36.5	22593.5
36.6	22655.4
36.7	22717.300000000003
36.8	22779.199999999997
36.9	22841.1
37.0	22903.0
37.1	22964.9
37.2	23026.800000000003
37.3	23088.699999999997
37.4	23150.6
37.5	23212.5
37.6	23274.4
37.7	23336.300000000003
37.8	23398.199999999997
37.9	23460.1
38.0	23522.0
38.1	23583.9
38.2	23645.800000000003
38.3	23707.699999999997
38.4	23769.6
38.5	23831.5
38.6	23893.4
38.7	23955.300000000003
38.8	24017.199999999997
38.9	24079.1
39.0	24141.0
39.1	24202.9
39.2	24264.800000000003
39.3	24326.699999999997
39.4	24388.6
39.5	24450.5
39.6	24512.4
39.7	24574.300000000003
39.8	24636.199999999997
39.9	24698.1
40.0	24760.0
40.1	24821.9
40.2	24883.800000000003
40.3	24945.699999999997
40.4	25007.6
40.5	25069.5
40.6	25131.4
40.7	25193.300000000003
40.8	25255.199999999997
40.9	25317.1
41.0	25379.0
41.1	25440.9
41.2	25502.800000000003
41.3	25564.699999999997
41.4	25626.6
41.5	25688.5
41.6	25750.4
41.7	25812.300000000003
41.8	25874.199999999997
41.9	25936.1
42.0	25998.0
42.1	26059.9
42.2	26121.800000000003
42.3	26183.699999999997
42.4	26245.6
42.5	26307.5
42.6	26369.4
42.7	26431.300000000003
42.8	26493.199999999997
42.9	26555.1
43.0	26617.0
43.1	26678.9
43.2	26740.800000000003
43.3	26802.699999999997
43.4	26864.6
43.5	26926.5
43.6	26988.4
43.7	27050.300000000003
43.8	27112.199999999997
43.9	27174.1
44.0	27236.0
44.1	27297.9
44.2	27359.800000000003
44.3	27421.699999999997
44.4	27483.6
44.5	27545.5
44.6	27607.4
44.7	27669.300000000003
44.8	27731.199999999997
44.9	27793.1
45.0	27855.0
45.1	27916.9
45.2	27978.800000000003
45.3	28040.699999999997
45.4	28102.6
45.5	28164.5
45.6	28226.4
45.7	28288.300000000003
45.8	28350.199999999997
45.9	28412.1
46.0	28474.0
46.1	28535.9
46.2	28597.800000000003
46.3	28659.699999999997
46.4	28721.6
46.5	28783.5
46.6	28845.4
46.7	28907.300000000003
46.8	28969.199999999997
46.9	29031.1
47.0	29093.0
47.1	29154.9
47.2	29216.800000000003
47.3	29278.699999999997
47.4	29340.6
47.5	29402.5
47.6	29464.4
47.7	29526.300000000003
47.8	29588.199999999997
47.9	29650.1
48.0	29712.0
48.1	29773.9
48.2	29835.800000000003
48.3	29897.699999999997
48.4	29959.6
48.5	30021.5
48.6	30083.4
48.7	30145.300000000003
48.8	30207.199999999997
48.9	30269.1
49.0	30331.0
49.1	30392.9
49.2	30454.800000000003
49.3	30516.699999999997
49.4	30578.6
49.5	30640.5
49.6	30702.4
49.7	30764.300000000003
49.8	30826.199999999997
49.9	30888.1
50.0	30950.0
50.1	31011.9
50.2	31073.800000000003
50.3	31135.699999999997
50.4	31197.6
50.5	31259.5
50.6	31321.4
50.7	31383.300000000003
50.8	31445.199999999997
50.9	31507.1
51.0	31569.0
51.1	31630.9
51.2	31692.800000000003
51.3	31754.699999999997
51.4	31816.6
51.5	31878.5
51.6	31940.4
51.7	32002.300000000003
51.8	32064.199999999997
51.9	32126.1
52.0	32188.0
52.1	32249.9
52.2	32311.800000000003
52.3	32373.699999999997
52.4	32435.6
52.5	32497.5
52.6	32559.4
52.7	32621.300000000003
52.8	32683.199999999997
52.9	32745.1
53.0	32807.0
53.1	32868.9
53.2	32930.8
53.3	32992.7
53.4	33054.6
53.5	33116.5
53.6	33178.4
53.7	33240.3
53.8	33302.2
53.9	33364.1
54.0	33426.0
54.1	33487.9
54.2	33549.8
54.3	33611.7
54.4	33673.6
54.5	33735.5
54.6	33797.4
54.7	33859.3
54.8	33921.2
54.9	33983.1
55.0	34045.0
55.1	34106.9
55.2	34168.8
55.3	34230.7
55.4	34292.6
55.5	34354.5
55.6	34416.4
55.7	34478.3
55.8	34540.2
55.9	34602.1
56.0	34664.0
56.1	34725.9
56.2	34787.8
56.3	34849.7
56.4	34911.6
56.5	34973.5
56.6	35035.4
56.7	35097.3
56.8	35159.2
56.9	35221.1
57.0	35283.0
57.1	35344.9
57.2	35406.8
57.3	35468.7
57.4	35530.6
57.5	35592.5
57.6	35654.4
57.7	35716.3
57.8	35778.2
57.9	35840.1
58.0	35902.0
58.1	35963.9
58.2	36025.8
58.3	36087.7
58.4	36149.6
58.5	36211.5
58.6	36273.4
58.7	36335.3
58.8	36397.2
58.9	36459.1
59.0	36521.0
59.1	36582.9
59.2	36644.8
59.3	36706.7
59.4	36768.6
59.5	36830.5
59.6	36892.4
59.7	36954.3
59.8	37016.2
59.9	37078.1
60.0	37140.0
60.1	37201.9
60.2	37263.8
60.3	37325.7
60.4	37387.6
60.5	37449.5
60.6	37511.4
60.7	37573.3
60.8	37635.2
60.9	37697.1
61.0	37759.0
61.1	37820.9
61.2	37882.8
61.3	37944.7
61.4	38006.6
61.5	38068.5
61.6	38130.4
61.7	38192.3
61.8	38254.2
61.9	38316.1
62.0	38378.0
62.1	38439.9
62.2	38501.8
62.3	38563.7
62.4	38625.6
62.5	38687.5
62.6	38749.4
62.7	38811.3
62.8	38873.2
62.9	38935.1
63.0	38997.0
63.1	39058.9
63.2	39120.8
63.3	39182.7
63.4	39244.6
63.5	39306.5
63.6	39368.4
63.7	39430.3
63.8	39492.2
63.9	39554.1
64.0	39616.0
64.1	39677.899999999994
64.2	39739.8
64.3	39801.7
64.4	39863.600000000006
64.5	39925.5
64.6	39987.399999999994
64.7	40049.3
64.8	40111.2
64.9	40173.100000000006
65.0	40235.0
65.1	40296.899999999994
65.2	40358.8
65.3	40420.7
65.4	40482.600000000006
65.5	40544.5
65.6	40606.399999999994
65.7	40668.3
65.8	40730.2
65.9	40792.100000000006
66.0	40854.0
66.1	40915.899999999994
66.2	40977.8
66.3	41039.7
66.4	41101.600000000006
66.5	41163.5
66.6	41225.399999999994
66.7	41287.3
66.8	41349.2
66.9	41411.100000000006
67.0	41473.0
67.1	41534.899999999994
67.2	41596.8
67.3	41658.7
67.4	41720.600000000006
67.5	41782.5
67.6	41844.399999999994
67.7	41906.3
67.8	41968.2
67.9	42030.100000000006
68.0	42092.0
68.1	42153.899999999994
68.2	42215.8
68.3	42277.7
68.4	42339.600000000006
68.5	42401.5
68.6	42463.399999999994
68.7	42525.3
68.8	42587.2
68.9	42649.100000000006
69.0	42711.0
69.1	42772.899999999994
69.2	42834.8
69.3	42896.7
69.4	42958.600000000006
69.5	43020.5
69.6	43082.399999999994
69.7	43144.3
69.8	43206.2
69.9	43268.100000000006
70.0	43330.0
70.1	43391.899999999994
70.2	43453.8
70.3	43515.7
70.4	43577.600000000006
70.5	43639.5
70.6	43701.399999999994
70.7	43763.3
70.8	43825.2
70.9	43887.100000000006
71.0	43949.0
71.1	44010.899999999994
71.2	44072.8
71.3	44134.7
71.4	44196.600000000006
71.5	44258.5
71.6	44320.399999999994
71.7	44382.3
71.8	44444.2
71.9	44506.100000000006
72.0	44568.0
72.1	44629.899999999994
72.2	44691.8
72.3	44753.7
72.4	44815.600000000006
72.5	44877.5
72.6	44939.399999999994
72.7	45001.3
72.8	45063.2
72.9	45125.100000000006
73.0	45187.0
73.1	45248.899999999994
73.2	45310.8
73.3	45372.7
73.4	45434.600000000006
73.5	45496.5
73.6	45558.399999999994
73.7	45620.3
73.8	45682.2
73.9	45744.100000000006
74.0	45806.0
74.1	45867.899999999994
74.2	45929.8
74.3	45991.7
74.4	46053.600000000006
74.5	46115.5
74.6	46177.399999999994
74.7	46239.3
74.8	46301.2
74.9	46363.100000000006
75.0	46425.0
75.1	46486.899999999994
75.2	46548.8
75.3	46610.7
75.4	46672.600000000006
75.5	46734.5
75.6	46796.399999999994
75.7	46858.3
75.8	46920.2
75.9	46982.100000000006
76.0	47044.0
76.1	47105.899999999994
76.2	47167.8
76.3	47229.7
76.4	47291.600000000006
76.5	47353.5
76.6	47415.399999999994
76.7	47477.3
76.8	47539.2
76.9	47601.100000000006
77.0	47663.0
77.1	47724.899999999994
77.2	47786.8
77.3	47848.7
77.4	47910.600000000006
77.5	47972.5
77.6	48034.399999999994
77.7	48096.3
77.8	48158.2
77.9	48220.100000000006
78.0	48282.0
78.1	48343.899999999994
78.2	48405.8
78.3	48467.7
78.4	48529.600000000006
78.5	48591.5
78.6	48653.399999999994
78.7	48715.3
78.8	48777.2
78.9	48839.100000000006
79.0	48901.0
79.1	48962.899999999994
79.2	49024.8
79.3	49086.7
79.4	49148.600000000006
79.5	49210.5
79.6	49272.399999999994
79.7	49334.3
79.8	49396.2
79.9	49458.100000000006
80.0	49520.0
80.1	49581.899999999994
80.2	49643.8
80.3	49705.7
80.4	49767.600000000006
80.5	49829.5
80.6	49891.399999999994
80.7	49953.3
80.8	50015.2
80.9	50077.100000000006
81.0	50139.0
81.1	50200.899999999994
81.2	50262.8
81.3	50324.7
81.4	50386.600000000006
81.5	50448.5
81.6	50510.399999999994
81.7	50572.3
81.8	50634.2
81.9	50696.100000000006
82.0	50758.0
82.1	50819.899999999994
82.2	50881.8
82.3	50943.7
82.4	51005.600000000006
82.5	51067.5
82.6	51129.399999999994
82.7	51191.3
82.8	51253.2
82.9	51315.100000000006
83.0	51377.0
