T [K]	C_p [J/m^3/K]
20.7	208048.33780464964
20.8	210530.9854948251
20.9	213022.62253991325
21.0	215523.05488973597
21.1	218032.088682762
21.2	220549.53030613
21.3	223075.18645421488
21.4	225608.8641857365
21.5	228150.37097941103
21.6	230699.5147881455
21.7	233256.10409178073
21.8	235819.94794838483
21.9	238390.8560441038
22.0	240968.63874157725
22.1	243553.1071269251
22.2	246144.07305531605
22.3	248741.3491951286
22.4	251344.74907071257
22.5	253954.08710376866
22.6	256569.1786533522
22.7	259189.84005452142
22.8	261815.88865564036
22.9	264447.14285435353
23.0	267083.4221322476
23.1	269724.54708821647
23.2	272370.3394705479
23.3	275020.6222077482
23.4	277675.2194381214
23.5	280333.9565381264
23.6	282996.66014952445
23.7	285663.15820534126
23.8	288333.27995466127
23.9	291006.8559862723
24.0	293683.71825118444
24.1	296363.7000840389
24.2	299046.63622343086
24.3	301732.36283116566
24.4	304420.7175104665
24.5	307111.5393231606
24.6	309804.6688058553
24.7	312499.9479851363
24.8	315197.2203917983
24.9	317896.33107413515
25.0	320597.1266103096
25.1	323299.45511982095
25.2	326003.1662740937
25.3	328708.11130620766
25.4	331414.1430197882
25.5	334121.1157970793
25.6	336828.88560621766
25.7	339537.31000773044
25.8	342246.2481602739
25.9	344955.5608256343
26.0	347665.110373012
26.1	350374.7607826032
26.2	353084.37764850556
26.3	355793.8281809612
26.4	358502.9812079572
26.5	361211.707176205
26.6	363919.87815151206
26.7	366627.3678185679
26.8	369334.0514801614
26.9	372039.8060558454
27.0	374744.51008006727
27.1	377448.0436997827
27.2	380150.2886715683
27.3	382851.12835825107
27.4	385550.4477250685
27.5	388248.13333537953
27.6	390944.07334593614
27.7	393638.15750173654
27.8	396330.27713047236
27.9	399020.32513658376
28.0	401708.1959949396
28.1	404393.7857441552
28.2	407076.9919795614
28.3	409757.7138458412
28.4	412435.8520293425
28.5	415111.308750086
28.6	417783.9877534763
28.7	420453.79430173116
28.8	423120.6351650417
28.9	425784.4186124723
29.0	428445.0544026166
29.1	431102.45377401693
29.2	433756.5294353622
29.3	436407.1955554702
29.4	439054.36775307026
29.5	441697.9630863951
29.6	444337.90004258737
29.7	446974.0985269391
29.8	449606.4798519676
29.9	452234.9667263373
30.0	454859.48324364226
30.1	457479.9548710499
30.2	460096.3084378227
30.3	462708.4721237213
30.4	465316.3754472977
30.5	467919.9492540892
30.6	470519.12570471823
30.7	473113.8382629071
30.8	475704.0216834132
30.9	478289.61199989385
31.0	480870.54651270807
31.1	483446.7637766575
31.2	486018.2035886795
31.3	488584.8069754938
31.4	491146.51618120994
31.5	493703.27465490357
31.6	496255.02703816385
31.7	498801.7191526209
31.8	501343.2979874554
31.9	503879.71168689866
32.0	506410.9095377262
32.1	508936.8419567493
32.2	511457.46047831076
32.3	513972.7177417893
32.4	516482.56747911585
32.5	518986.9645023047
32.6	521485.86469100846
32.7	523979.22498009476
32.8	526467.0033472526
32.9	528949.1588006304
33.0	531425.6513665083
33.1	533896.4420770119
33.2	536361.4929578635
33.3	538820.7670161828
33.4	541274.2282283329
33.5	543721.841527817
33.6	546163.5727932301
33.7	548599.3888362653
33.8	551029.2573897791
33.9	553453.1470959182
34.0	555871.0274943084
34.1	558282.8690103096
34.2	560688.6429433365
34.3	563088.321455253
34.4	565481.8775588323
34.5	567869.2851062933
34.6	570250.5187779109
34.7	572625.554070702
34.8	574994.3672871911
34.9	577356.9355242521
35.0	579713.2366620325
35.1	582063.24935296
35.2	584406.9530108297
35.3	586744.3277999777
35.4	589075.3546245381
35.5	591400.0151177875
35.6	593718.2916315751
35.7	596030.1672258412
35.8	598335.6256582239
35.9	600634.6513737566
36.0	602927.2294946526
36.1	605213.3458101833
36.2	607492.9867666444
36.3	609766.1394574156
36.4	612032.7916131124
36.5	614292.9315918301
36.6	616546.5483694766
36.7	618793.6315302054
36.8	621034.1712569358
36.9	623268.1583219684
37.0	625495.5840776946
37.1	627716.4404473988
37.2	629930.7199161558
37.3	632138.4155218184
37.4	634339.5208461039
37.5	636534.0300057702
37.6	638721.9376438857
37.7	640903.2389211952
37.8	643077.9295075769
37.9	645246.0055735941
38.0	647407.4637821369
38.1	649562.3012801616
38.2	651710.515690517
38.3	653852.1051038672
38.4	655987.0680707042
38.5	658115.4035934526
38.6	660237.1111186651
38.7	662352.1905293093
38.8	664460.6421371443
38.9	666562.4666751894
39.0	668657.6652902783
39.1	670746.2395357062
39.2	672828.191363965
39.3	674903.523119564
39.4	676972.2375319417
39.5	679034.3377084621
39.6	681089.8271275
39.7	683138.70963161
39.8	685180.989420783
39.9	687216.671045786
40.0	689245.7594015884
40.1	691268.2597208695
40.2	693284.1775676107
40.3	695293.5188307714
40.4	697296.2897180447
40.5	699292.4967496945
40.6	701282.146752476
40.7	703265.2468536329
40.8	705241.8044749761
40.9	707211.8273270424
41.0	709175.3234033254
41.1	711132.3009745928
41.2	713082.768583273
41.3	715026.7350379208
41.4	716964.2094077591
41.5	718895.201017295
41.6	720819.7194410079
41.7	722737.7744981145
41.8	724649.3762474033
41.9	726554.5349821438
42.0	728453.2612250652
42.1	730345.5657234067
42.2	732231.4594440366
42.3	734110.9535686426
42.4	735984.0594889891
42.5	737850.7888022421
42.6	739711.1533063642
42.7	741565.1649955712
42.8	743412.836055859
42.9	745254.1788605943
43.0	747089.2059661677
43.1	748917.9301077127
43.2	750740.3641948886
43.3	752556.521307722
43.4	754366.4146925148
43.5	756170.057757809
43.6	757967.464070414
43.7	759758.6473514942
43.8	761543.6214727126
43.9	763322.4004524375
44.0	765094.9984520009
44.1	766861.4297720196
44.2	768621.708848768
44.3	770375.8502506104
44.4	772123.8686744857
44.5	773865.7789424472
44.6	775601.5959982558
44.7	777331.3349040289
44.8	779055.0108369368
44.9	780772.639085956
45.0	782484.2350486697
45.1	784189.8142281213
45.2	785889.3922297178
45.3	787582.98475818
45.4	789270.6076145463
45.5	790952.2766932175
45.6	792628.0079790568
45.7	794297.8175445318
45.8	795961.7215469027
45.9	797619.7362254609
46.0	799271.8778988061
46.1	800918.1629621732
46.2	802558.6078848019
46.3	804193.2292073473
46.4	805822.0435393366
46.5	807445.0675566676
46.6	809062.3179991454
46.7	810673.811668066
46.8	812279.5654238361
46.9	813879.596183635
47.0	815473.9209191141
47.1	817062.5566541409
47.2	818645.5204625723
47.3	820222.8294660763
47.4	821794.500831983
47.5	823360.5517711766
47.6	824920.9995360235
47.7	826475.8614183356
47.8	828025.1547473691
47.9	829568.8968878611
48.0	831107.105238094
48.1	832639.7972280023
48.2	834166.9903173072
48.3	835688.7019936866
48.4	837204.9497709768
48.5	838715.7511874078
48.6	840221.1238038681
48.7	841721.085202204
48.8	843215.6529835456
48.9	844704.8447666689
49.0	846188.6781863805
49.1	847667.170891939
49.2	849140.3405455017
49.3	850608.2048205988
49.4	852070.7814006414
49.5	853528.0879774515
49.6	854980.1422498219
49.7	856426.9619221041
49.8	857868.5647028217
49.9	859304.9683033103
50.0	860736.1904363841
50.1	862162.2488150258
50.2	863583.1611511046
50.3	864998.9451541178
50.4	866409.6185299559
50.5	867815.1989796932
50.6	869215.7041984012
50.7	870611.151873986
50.8	872001.5596860482
50.9	873386.9453047654
51.0	874767.3263897976
51.1	876142.7205892149
51.2	877513.1455384452
51.3	878878.6188592447
51.4	880239.1581586887
51.5	881594.7810281846
51.6	882945.5050425023
51.7	884291.3477588284
51.8	885632.3267158365
51.9	886968.4594327796
52.0	888299.7634085993
52.1	889626.256121059
52.2	890947.9550258864
52.3	892264.8775559451
52.4	893577.0411204152
52.5	894884.4631039972
52.6	896187.1608661308
52.7	897485.1517402324
52.8	898778.4530329468
52.9	900067.0820234198
53.0	901351.0559625826
53.1	902630.3920724557
53.2	903905.107545467
53.3	905175.2195437852
53.4	906440.7451986714
53.5	907701.7016098411
53.6	908958.1058448448
53.7	910209.9749384631
53.8	911457.3258921127
53.9	912700.1756732719
54.0	913938.541214914
54.1	915172.4394149613
54.2	916401.8871357448
54.3	917626.9012034846
54.4	918847.4984077784
54.5	920063.6955011045
54.6	921275.5091983365
54.7	922482.9561762741
54.8	923686.0530731801
54.9	924884.8164883344
55.0	926079.2629815972
55.1	927269.4090729852
55.2	928455.2712422579
55.3	929636.8659285171
55.4	930814.209529815
55.5	931987.318402775
55.6	933156.2088622225
55.7	934320.8971808262
55.8	935481.3995887496
55.9	936637.7322733143
56.0	937789.9113786692
56.1	938937.9530054741
56.2	940081.8732105911
56.3	941221.6880067838
56.4	942357.413362429
56.5	943489.0652012345
56.6	944616.6594019694
56.7	945740.211798198
56.8	946859.7381780294
56.9	947975.2542838685
57.0	949086.7758121797
57.1	950194.3184132591
57.2	951297.8976910114
57.3	952397.5292027392
57.4	953493.228458936
57.5	954585.0109230888
57.6	955672.8920114886
57.7	956756.8870930483
57.8	957837.011489127
57.9	958913.2804733604
58.0	959985.7092715028
58.1	961054.3130612696
58.2	962119.1069721909
58.3	963180.106085473
58.4	964237.3254338603
58.5	965290.7800015089
58.6	966340.4847238674
58.7	967386.4544875572
58.8	968428.7041302655
58.9	969467.2484406432
59.0	970502.1021582041
59.1	971533.2799732353
59.2	972560.7965267105
59.3	973584.6664102091
59.4	974604.9041658406
59.5	975621.5242861756
59.6	976634.5412141797
59.7	977643.9693431559
59.8	978649.8230166867
59.9	979652.1165285883
60.0	980650.8641228627
60.1	981646.0799936589
60.2	982637.778285238
60.3	983625.97309194
60.4	984610.6784581606
60.5	985591.9083783259
60.6	986569.6767968762
60.7	987543.997608254
60.8	988514.8846568903
60.9	989482.3517372037
61.0	990446.4125935965
61.1	991407.0809204569
61.2	992364.3703621676
61.3	993318.2945131132
61.4	994268.8669176953
61.5	995216.1010703489
61.6	996160.0104155643
61.7	997100.6083479102
61.8	998037.9082120616
61.9	998971.9233028311
62.0	999902.6668652024
62.1	1000830.1520943674
62.2	1001754.3921357671
62.3	1002675.400085135
62.4	1003593.1889885429
62.5	1004507.7718424506
62.6	1005419.1615937572
62.7	1006327.3711398575
62.8	1007232.4133286978
62.9	1008134.300958837
63.0	1009033.0467795104
63.1	1009928.6634906923
63.2	1010821.163743167
63.3	1011710.5601385973
63.4	1012596.865229598
63.5	1013480.0915198092
63.6	1014360.2514639767
63.7	1015237.3574680284
63.8	1016111.4218891574
63.9	1016982.4570359061
64.0	1017850.4751682512
64.1	1018715.4884976922
64.2	1019577.5091873406
64.3	1020436.5493520123
64.4	1021292.6210583214
64.5	1022145.7363247743
64.6	1022995.907121869
64.7	1023843.1453721924
64.8	1024687.4629505221
64.9	1025528.8716839288
65.0	1026367.3833518786
65.1	1027203.0096863412
65.2	1028035.7623718954
65.3	1028865.6530458371
65.4	1029692.6932982921
65.5	1030516.8946723238
65.6	1031338.2686640501
65.7	1032156.8267227539
65.8	1032972.5802510018
65.9	1033785.5406047584
66.0	1034595.7190935059
66.1	1035403.1269803622
66.2	1036207.7754822043
66.3	1037009.6757697844
66.4	1037808.8389678583
66.5	1038605.2761553047
66.6	1039398.9983652533
66.7	1040190.0165852089
66.8	1040978.3417571783
66.9	1041763.9847777976
67.0	1042546.9564984617
67.1	1043327.2677254548
67.2	1044104.9292200779
67.3	1044879.9516987823
67.4	1045652.3458333014
67.5	1046422.1222507822
67.6	1047189.2915339213
67.7	1047953.864221096
67.8	1048715.8508065022
67.9	1049475.2617402882
68.0	1050232.1074286923
68.1	1050986.3982341785
68.2	1051738.1444755765
68.3	1052487.3564282148
68.4	1053234.0443240663
68.5	1053978.2183518813
68.6	1054719.8886573315
68.7	1055459.0653431474
68.8	1056195.7584692622
68.9	1056929.9780529481
69.0	1057661.734068964
69.1	1058391.0364496917
69.2	1059117.8950852829
69.3	1059842.3198237985
69.4	1060564.3204713543
69.5	1061283.906792263
69.6	1062001.088509178
69.7	1062715.8753032389
69.8	1063428.2768142133
69.9	1064138.302640644
70.0	1064845.9623399915
70.1	1065551.265428782
70.2	1066254.22138275
70.3	1066954.8396369838
70.4	1067653.1295860747
70.5	1068349.1005842572
70.6	1069042.7619455608
70.7	1069734.1229439515
70.8	1070423.1928134807
70.9	1071109.9807484308
71.0	1071794.495903461
71.1	1072476.7473937545
71.2	1073156.744295166
71.3	1073834.495644366
71.4	1074510.0104389898
71.5	1075183.297637782
71.6	1075854.366160745
71.7	1076523.2248892859
71.8	1077189.8826663613
71.9	1077854.348296625
72.0	1078516.6305465763
72.1	1079176.738144703
72.2	1079834.6797816309
72.3	1080490.4641102701
72.4	1081144.0997459597
72.5	1081795.595266615
72.6	1082444.959212875
72.7	1083092.2000882465
72.8	1083737.3263592506
72.9	1084380.34645557
73.0	1085021.2687701934
73.1	1085660.101659561
73.2	1086296.8534437108
73.3	1086931.5324064235
73.4	1087564.146795367
73.5	1088194.704822243
73.6	1088823.2146629295
73.7	1089449.6844576278
73.8	1090074.122311005
73.9	1090696.5362923378
74.0	1091316.9344356603
74.1	1091935.324739902
74.2	1092551.7151690356
74.3	1093166.1136522186
74.4	1093778.5280839365
74.5	1094388.9663241457
74.6	1094997.4361984155
74.7	1095603.9454980711
74.8	1096208.5019803364
74.9	1096811.1133684719
75.0	1097411.787351921
75.1	1098010.5315864482
75.2	1098607.3536942804
75.3	1099202.2612642476
75.4	1099795.2618519245
75.5	1100386.3629797671
75.6	1100975.5721372562
75.7	1101562.8967810338
75.8	1102148.3443350438
75.9	1102731.9221906702
76.0	1103313.6377068742
76.1	1103893.498210334
76.2	1104471.510995582
76.3	1105047.6833251417
76.4	1105622.0224296642
76.5	1106194.5355080662
76.6	1106765.229727664
76.7	1107334.1122243134
76.8	1107901.19010254
76.9	1108466.4704356787
77.0	1109029.9602660062
77.1	1109591.6666048763
77.2	1110151.5964328537
77.3	1110709.7566998473
77.4	1111266.1543252442
77.5	1111820.7961980428
77.6	1112373.6891769834
77.7	1112924.8400906827
77.8	1113474.2557377643
77.9	1114021.94288699
78.0	1114567.908277392
78.1	1115112.1586184006
78.2	1115654.7005899781
78.3	1116195.5408427452
78.4	1116734.6859981122
78.5	1117272.142648407
78.6	1117807.917357005
78.7	1118342.0166584551
78.8	1118874.447058609
78.9	1119405.2150347473
79.0	1119934.3270357077
79.1	1120461.7894820103
79.2	1120987.608765984
79.3	1121511.7912518908
79.4	1122034.3432760548
79.5	1122555.271146982
79.6	1123074.581145487
79.7	1123592.2795248183
79.8	1124108.3725107776
79.9	1124622.8663018476
80.0	1125135.767069311
80.1	1125647.0809573743
80.2	1126156.8140832891
80.3	1126664.9725374738
80.4	1127171.5623836324
80.5	1127676.5896588794
80.6	1128180.0603738534
80.7	1128681.9805128432
80.8	1129182.356033901
80.9	1129681.1928689654
81.0	1130178.4969239782
81.1	1130674.2740790006
81.2	1131168.5301883332
81.3	1131661.271080631
81.4	1132152.5025590197
81.5	1132642.2304012137
81.6	1133130.4603596288
81.7	1133617.1981615
81.8	1134102.4495089946
81.9	1134586.2200793265
82.0	1135068.515524871
82.1	1135549.3414732763
82.2	1136028.7035275789
82.3	1136506.6072663136
82.4	1136983.058243627
82.5	1137458.0619893891
82.6	1137931.6240093028
82.7	1138403.749785017
82.8	1138874.444774235
82.9	1139343.7144108254
83.0	1139811.5641049296
83.1	1140277.9992430743
83.2	1140743.0251882758
83.3	1141206.6472801513
83.4	1141668.8708350244
83.5	1142129.7011460334
83.6	1142589.1434832376
83.7	1143047.203093724
83.8	1143503.885201712
83.9	1143959.1950086604
84.0	1144413.1376933714
84.1	1144865.7184120947
84.2	1145316.9422986335
84.3	1145766.8144644445
84.4	1146215.3399987465
84.5	1146662.5239686177
84.6	1147108.3714191017
84.7	1147552.8873733077
84.8	1147996.0768325126
84.9	1148437.9447762624
85.0	1148878.4961624723
85.1	1149317.7359275261
85.2	1149755.668986378
85.3	1150192.3002326502
85.4	1150627.6345387322
85.5	1151061.6767558802
85.6	1151494.431714314
85.7	1151925.904223315
85.8	1152356.0990713236
85.9	1152785.0210260362
86.0	1153212.6748345005
86.1	1153639.065223213
86.2	1154064.1968982136
86.3	1154488.0745451795
86.4	1154910.7028295235
86.5	1155332.0863964844
86.6	1155752.2298712225
86.7	1156171.1378589137
86.8	1156588.814944841
86.9	1157005.2656944885
87.0	1157420.4946536329
87.1	1157834.5063484346
87.2	1158247.3052855318
87.3	1158658.8959521272
87.4	1159069.2828160825
87.5	1159478.4703260064
87.6	1159886.4629113453
87.7	1160293.264982472
87.8	1160698.8809307746
87.9	1161103.3151287464
88.0	1161506.5719300716
88.1	1161908.655669716
88.2	1162309.5706640116
88.3	1162709.3212107455
88.4	1163107.9115892453
88.5	1163505.3460604656
88.6	1163901.6288670746
88.7	1164296.7642335375
88.8	1164690.756366204
88.9	1165083.6094533913
89.0	1165475.327665468
89.1	1165865.9151549388
89.2	1166255.3760565282
89.3	1166643.7144872623
89.4	1167030.934546553
89.5	1167417.0403162793
89.6	1167802.035860868
89.7	1168185.9252273794
89.8	1168568.7124455834
89.9	1168950.4015280434
90.0	1169330.9964701957
90.1	1169710.5012504298
90.2	1170088.9198301681
90.3	1170466.2561539444
90.4	1170842.514149485
90.5	1171217.6977277836
90.6	1171591.810783183
90.7	1171964.857193451
90.8	1172336.8408198582
90.9	1172707.7655072557
91.0	1173077.6350841515
91.1	1173446.453362786
91.2	1173814.2241392082
91.3	1174180.9511933539
91.4	1174546.6382891168
91.5	1174911.289174427
91.6	1175274.9075813238
91.7	1175637.4972260294
91.8	1175999.061809025
91.9	1176359.6050151223
92.0	1176719.1305135377
92.1	1177077.641957964
92.2	1177435.142986645
92.3	1177791.6372224456
92.4	1178147.1282729243
92.5	1178501.619730405
92.6	1178855.1151720474
92.7	1179207.6181599183
92.8	1179559.132241063
92.9	1179909.6609475727
93.0	1180259.2077966572
93.1	1180607.7762907124
93.2	1180955.3699173909
93.3	1181301.992149669
93.4	1181647.6464459167
93.5	1181992.3362499648
93.6	1182336.0649911743
93.7	1182678.836084501
93.8	1183020.6529305654
93.9	1183361.5189157187
94.0	1183701.437412108
94.1	1184040.4117777457
94.2	1184378.4453565702
94.3	1184715.5414785172
94.4	1185051.703459581
94.5	1185386.9346018801
94.6	1185721.2381937243
94.7	1186054.617509675
94.8	1186387.0758106124
94.9	1186718.6163437972
95.0	1187049.2423429359
95.1	1187378.9570282418
95.2	1187707.763606499
95.3	1188035.6652711248
95.4	1188362.6652022314
95.5	1188688.7665666873
95.6	1189013.9725181812
95.7	1189338.2861972803
95.8	1189661.7107314928
95.9	1189984.2492353278
96.0	1190305.9048103571
96.1	1190626.680545274
96.2	1190946.5795159533
96.3	1191265.6047855108
96.4	1191583.7594043629
96.5	1191901.0464102854
96.6	1192217.4688284707
96.7	1192533.0296715896
96.8	1192847.7319398455
96.9	1193161.5786210345
97.0	1193474.5726906015
97.1	1193786.7171116993
97.2	1194098.0148352443
97.3	1194408.4687999717
97.4	1194718.0819324958
97.5	1195026.8571473616
97.6	1195334.7973471044
97.7	1195641.9054223034
97.8	1195948.1842516365
97.9	1196253.6367019366
98.0	1196558.2656282473
98.1	1196862.0738738736
98.2	1197165.0642704407
98.3	1197467.2396379444
98.4	1197768.602784807
98.5	1198069.15650793
98.6	1198368.9035927465
98.7	1198667.8468132752
98.8	1198965.988932173
98.9	1199263.3327007864
99.0	1199559.8808592043
99.1	1199855.6361363109
99.2	1200150.6012498348
99.3	1200444.7789064038
99.4	1200738.1718015918
99.5	1201030.7826199743
99.6	1201322.6140351745
99.7	1201613.6687099177
99.8	1201903.949296078
99.9	1202193.4584347315
100.0	1202482.1987562026
100.1	1202770.1728801169
100.2	1203057.3834154457
100.3	1203343.8329605612
100.4	1203629.5241032783
100.5	1203914.4594209087
100.6	1204198.6414803057
100.7	1204482.072837914
100.8	1204764.756039816
100.9	1205046.6936217796
101.0	1205327.8881093075
101.1	1205608.342017681
101.2	1205888.057852009
101.3	1206167.0381072736
101.4	1206445.2852683773
101.5	1206722.801810188
101.6	1206999.590197586
101.7	1207275.6528855083
101.8	1207550.9923189955
101.9	1207825.6109332363
102.0	1208099.5111536123
102.1	1208372.6953957437
102.2	1208645.1660655318
102.3	1208916.925559206
102.4	1209187.9762633664
102.5	1209458.3205550273
102.6	1209727.960801662
102.7	1209996.8993612456
102.8	1210265.1385822976
102.9	1210532.680803928
103.0	1210799.5283558755
103.1	1211065.6835585537
103.2	1211331.148723092
103.3	1211595.926151378
103.4	1211860.0181361001
103.5	1212123.426960788
103.6	1212386.154899856
103.7	1212648.2042186426
103.8	1212909.5771734535
103.9	1213170.2760116002
104.0	1213430.3029714434
104.1	1213689.6602824323
104.2	1213948.350165144
104.3	1214206.374831326
104.4	1214463.7364839343
104.5	1214720.4373171732
104.6	1214976.4795165362
104.7	1215231.8652588448
104.8	1215486.5967122873
104.9	1215740.676036457
105.0	1215994.105382394
105.1	1216246.88689262
105.2	1216499.0227011808
105.3	1216750.5149336802
105.4	1217001.365707321
105.5	1217251.5771309435
105.6	1217501.1513050594
105.7	1217750.0903218936
105.8	1217998.3962654185
105.9	1218246.071211393
106.0	1218493.1172273983
106.1	1218739.5363728756
106.2	1218985.3306991616
106.3	1219230.502249526
106.4	1219475.0530592063
106.5	1219718.985155446
106.6	1219962.3005575293
106.7	1220205.0012768153
106.8	1220447.0893167765
106.9	1220688.5666730322
107.0	1220929.4353333844
107.1	1221169.697277852
107.2	1221409.3544787068
107.3	1221648.4089005075
107.4	1221886.862500134
107.5	1222124.717226822
107.6	1222361.975022198
107.7	1222598.6378203111
107.8	1222834.70754767
107.9	1223070.1861232738
108.0	1223305.075458646
108.1	1223539.3774578704
108.2	1223773.09401762
108.3	1224006.2270271936
108.4	1224238.7783685483
108.5	1224470.7499163295
108.6	1224702.1435379055
108.7	1224932.9610934015
108.8	1225163.2044357264
108.9	1225392.8754106122
109.0	1225621.9758566394
109.1	1225850.5076052723
109.2	1226078.47248089
109.3	1226305.8723008174
109.4	1226532.708875356
109.5	1226758.9840078165
109.6	1226984.6994945486
109.7	1227209.857124972
109.8	1227434.4586816072
109.9	1227658.5059401074
110.0	1227882.0006692857
110.1	1228104.9446311481
110.2	1228327.3395809229
110.3	1228549.1872670897
110.4	1228770.489431411
110.5	1228991.2478089607
110.6	1229211.4641281518
110.7	1229431.1401107705
110.8	1229650.2774720006
110.9	1229868.8779204548
111.0	1230086.9431582044
111.1	1230304.4748808066
111.2	1230521.4747773323
111.3	1230737.9445303988
111.4	1230953.8858161932
111.5	1231169.3003045032
111.6	1231384.1896587452
111.7	1231598.5555359917
111.8	1231812.399586999
111.9	1232025.7234562363
112.0	1232238.5287819107
112.1	1232450.8171959969
112.2	1232662.5903242643
112.3	1232873.8497863028
112.4	1233084.5971955503
112.5	1233294.834159321
112.6	1233504.56227883
112.7	1233713.7831492221
112.8	1233922.4983595968
112.9	1234130.7094930348
113.0	1234338.4181266248
113.1	1234545.6258314901
113.2	1234752.3341728135
113.3	1234958.544709863
113.4	1235164.2589960191
113.5	1235369.4785788
113.6	1235574.2049998855
113.7	1235778.4397951437
113.8	1235982.1844946565
113.9	1236185.4406227444
114.0	1236388.2096979914
114.1	1236590.4932332702
114.2	1236792.292735766
114.3	1236993.6097070028
114.4	1237194.4456428662
114.5	1237394.8020336293
114.6	1237594.6803639766
114.7	1237794.082113028
114.8	1237993.008754362
114.9	1238191.461756041
115.0	1238389.4425806357
115.1	1238586.952685246
115.2	1238783.9935215279
115.3	1238980.5665357148
115.4	1239176.6731686422
115.5	1239372.3148557693
115.6	1239567.493027205
115.7	1239762.2091077275
115.8	1239956.4645168104
115.9	1240150.260668643
116.0	1240343.5989721552
116.1	1240536.4808310375
116.2	1240728.9076437668
116.3	1240920.8808036265
116.4	1241112.4016987288
116.5	1241303.4717120389
116.6	1241494.092221393
116.7	1241684.2645995256
116.8	1241873.9902140885
116.9	1242063.2704276703
117.0	1242252.1065978233
117.1	1242440.500077081
117.2	1242628.452212981
117.3	1242815.9643480864
117.4	1243003.0378200067
117.5	1243189.6739614194
117.6	1243375.8741000902
117.7	1243561.6395588955
117.8	1243746.9716558408
117.9	1243931.871704085
118.0	1244116.341011957
118.1	1244300.3808829794
118.2	1244483.9926158874
118.3	1244667.1775046499
118.4	1244849.936838489
118.5	1245032.271901901
118.6	1245214.183974676
118.7	1245395.674331918
118.8	1245576.7442440644
118.9	1245757.3949769065
119.0	1245937.627791609
119.1	1246117.443944729
119.2	1246296.8446882362
119.3	1246475.8312695322
119.4	1246654.404931469
119.5	1246832.56691237
119.6	1247010.3184460476
119.7	1247187.6607618227
119.8	1247364.5950845433
119.9	1247541.122634604
120.0	1247717.2446279658
120.1	1247892.9622761714
120.2	1248068.2767863676
120.3	1248243.1893613215
120.4	1248417.7011994394
120.5	1248591.8134947869
120.6	1248765.527437103
120.7	1248938.844211823
120.8	1249111.7650000944
120.9	1249284.2909787938
121.0	1249456.423320546
121.1	1249628.1631937437
121.2	1249799.511762562
121.3	1249970.4701869772
121.4	1250141.0396227855
121.5	1250311.2212216193
121.6	1250481.0161309645
121.7	1250650.4254941794
121.8	1250819.45045051
121.9	1250988.0921351085
122.0	1251156.3516790494
122.1	1251324.2302093478
122.2	1251491.7288489752
122.3	1251658.8487168765
122.4	1251825.5909279876
122.5	1251991.9565932518
122.6	1252157.9468196344
122.7	1252323.5627101434
122.8	1252488.8053638416
122.9	1252653.6758758663
123.0	1252818.1753374438
123.1	1252982.3048359063
123.2	1253146.0654547068
123.3	1253309.4582734378
123.4	1253472.484367845
123.5	1253635.1448098442
123.6	1253797.4406675373
123.7	1253959.3730052265
123.8	1254120.942883433
123.9	1254282.15135891
124.0	1254442.9994846587
124.1	1254603.4883099454
124.2	1254763.6188803157
124.3	1254923.3922376093
124.4	1255082.8094199765
124.5	1255241.8714618925
124.6	1255400.5793941724
124.7	1255558.9342439892
124.8	1255716.9370348828
124.9	1255874.5887867825
125.0	1256031.890516014
125.1	1256188.8432353213
125.2	1256345.4479538759
125.3	1256501.7056772956
125.4	1256657.617407655
125.5	1256813.1841435058
125.6	1256968.406879884
125.7	1257123.28660833
125.8	1257277.8243169007
125.9	1257432.0209901843
126.0	1257585.8776093135
126.1	1257739.3951519812
126.2	1257892.5745924525
126.3	1258045.4169015815
126.4	1258197.923046822
126.5	1258350.0939922445
126.6	1258501.9306985466
126.7	1258653.4341230707
126.8	1258804.605219815
126.9	1258955.4449394464
127.0	1259105.954229318
127.1	1259256.134033477
127.2	1259405.9852926834
127.3	1259555.5089444194
127.4	1259704.7059229068
127.5	1259853.5771591144
127.6	1260002.1235807778
127.7	1260150.3461124075
127.8	1260298.2456753044
127.9	1260445.8231875729
128.0	1260593.0795641313
128.1	1260740.0157167278
128.2	1260886.6325539527
128.3	1261032.9309812495
128.4	1261178.911900928
128.5	1261324.5762121798
128.6	1261469.9248110869
128.7	1261614.9585906367
128.8	1261759.6784407333
128.9	1261904.0852482112
129.0	1262048.1798968464
129.1	1262191.9632673694
129.2	1262335.4362374775
129.3	1262478.599681846
129.4	1262621.454472142
129.5	1262764.0014770352
129.6	1262906.2415622103
129.7	1263048.1755903794
129.8	1263189.8044212929
129.9	1263331.1289117525
130.0	1263472.1499156223
130.1	1263612.8682838415
130.2	1263753.2848644345
130.3	1263893.400502523
130.4	1264033.2160403403
130.5	1264172.7323172388
130.6	1264311.9501697032
130.7	1264450.8704313631
130.8	1264589.4939330027
130.9	1264727.8215025733
131.0	1264865.8539652037
131.1	1265003.592143212
131.2	1265141.0368561167
131.3	1265278.188920648
131.4	1265415.0491507582
131.5	1265551.6183576337
131.6	1265687.8973497048
131.7	1265823.8869326585
131.8	1265959.587909447
131.9	1266095.0010803014
132.0	1266230.127242739
132.1	1266364.9671915772
132.2	1266499.5217189433
132.3	1266633.7916142836
132.4	1266767.7776643755
132.5	1266901.4806533386
132.6	1267034.9013626436
132.7	1267168.040571124
132.8	1267300.8990549855
132.9	1267433.4775878175
