# Ab initio lattice heat capacity of optical phonons from Sukanyas bulk DFT
#
# Temperature [K]	C_p [J/m^3K]
203	1333963.783335241
204	1336040.9117988958
205	1338092.8092603865
206	1340119.8588413468
207	1342122.4369703769
208	1344100.9135077423
209	1346055.651866415
210	1347987.0091323694
211	1349895.336182491
212	1351780.9777998063
213	1353644.2727874795
214	1355485.5540800744
215	1357305.1488533672
216	1359103.3786319774
217	1360880.5593950173
218	1362637.0016797064
219	1364373.0106833938
220	1366088.8863633184
221	1367784.9235348485
222	1369461.41196783
223	1371118.6364809
224	1372756.877034178
225	1374376.4088202964
226	1375977.5023538494
227	1377560.4235584827
228	1379125.4338530893
229	1380672.7902357988
230	1382202.7453672267
231	1383715.5476505277
232	1385211.4413117082
233	1386690.666477139
234	1388153.4592502613
235	1389600.0517861298
236	1391030.6723655323
237	1392445.5454666838
238	1393844.8918356893
239	1395228.9285564222
240	1396597.8691181054
241	1397951.923482031
242	1399291.2981466083
243	1400616.1962120575
244	1401926.817442635
245	1403223.3583282144
246	1404506.0121452343
247	1405774.9690147778
248	1407030.415961842
249	1408272.5369713022
250	1409501.5130441776
251	1410717.5222516772
252	1411920.739789801
253	1413111.3380305604
254	1414289.4865749814
255	1415455.3523019713
256	1416609.0994193957
257	1417750.889511224
258	1418880.8815863272
259	1419999.2321238755
260	1421106.095120314
261	1422201.6221333172
262	1423285.9623257793
263	1424359.262509643
264	1425421.6671871871
265	1426473.3185930839
266	1427514.3567350572
267	1428544.9194324403
268	1429565.142357833
269	1430575.159072321
270	1431575.1010650254
271	1432565.0977894617
272	1433545.2766990894
273	1434515.7632835093
274	1435476.6811021746
275	1436428.1518193954
276	1437370.2952371002
277	1438303.2293275965
278	1439227.0702657767
279	1440141.9324606694
280	1441047.9285860925
281	1441945.1696108049
282	1442833.7648284792
283	1443713.821886795
284	1444585.4468155017
285	1445448.74405508
286	1446303.8164838632
287	1447150.7654446904
288	1447989.6907717586
289	1448820.690816587
290	1449643.8624727405
291	1450459.3012017948
292	1451267.1010569853
293	1452067.3547072888
294	1452860.1534615539
295	1453645.587290487
296	1454423.744850881
297	1455194.7135061636
298	1455958.5793494822
299	1456715.4272242496
300	1457465.3407460188
301	1458208.4023216558
302	1458944.69317152
303	1459674.2933476423
304	1460397.2817535186
305	1461113.7361641992
306	1461823.7332438123
307	1462527.3485648187
308	1463224.6566249826
309	1463915.7308669286
310	1464600.6436932357
311	1465279.4664857402
312	1465952.269620555
313	1466619.1224856654
314	1467280.0934961499
315	1467935.2501109154
316	1468584.658847717
317	1469228.3852985417
318	1469866.4941444295
319	1470499.049170877
320	1471126.1132813296
321	1471747.7485118397
322	1472364.016045495
