# Ab initio lattice heat capacity of accoustic phonons from Sukanyas bulk DFT
#
# Temperature [K]	C_p [J/m^3K]
818	427388.9540274695
819	427390.6648716144
820	427392.36946598487
821	427394.06784067885
822	427395.7600260094
823	427397.4460518951
824	427399.1259483978
825	427400.7997450775
826	427402.467471386
827	427404.1291565605
828	427405.78482998133
829	427407.4345203114
830	427409.0782564289
831	427410.7160672478
832	427412.347980606
833	427413.9740253099
834	427415.5942292692
835	427417.208620214
836	427418.817226305
837	427420.4200746985
838	427422.0171933399
839	427423.6086089909
840	427425.19434902293
841	427426.7744403411
842	427428.3489098147
843	427429.9177838109
844	427431.4810892346
845	427433.0388519865
846	427434.59109850554
847	427436.1378545128
848	427437.6791461961
849	427439.2149990615
850	427440.745438615
851	427442.2704903985
852	427443.79017955944
853	427445.30453131685
854	427446.8135704951
855	427448.3173219188
856	427449.8158103406
857	427451.30906029796
858	427452.79709607724
859	427454.27994185727
860	427455.75762224715
861	427457.23016031366
862	427458.69758048654
863	427460.15990633477
864	427461.6171616067
865	427463.0693691175
866	427464.5165527594
867	427465.95873549115
868	427467.3959400208
869	427468.8281898095
870	427470.2555069555
871	427471.67791448947
872	427473.09543486824
873	427474.50809015404
874	427475.9159030906
875	427477.31889516633
876	427478.7170889455
877	427480.1105057729
878	427481.4991676748
879	427482.88309628295
880	427484.26231297804
881	427485.6368388895
882	427487.006695685
883	427488.37190427864
884	427489.73248554894
885	427491.08846080466
886	427492.439850171
887	427493.7866747413
888	427495.12895503547
889	427496.46671132196
890	427497.7999638334
891	427499.12873298186
892	427500.453038677
893	427501.77290104405
894	427503.0883396698
895	427504.3993746076
896	427505.70602522907
897	427507.0083111572
898	427508.3062518352
899	427509.5998665273
900	427510.88917442574
901	427512.1741947229
902	427513.45494603715
903	427514.7314478478
904	427516.0037183425
905	427517.2717767139
906	427518.53564114973
907	427519.7953300889
908	427521.0508624009
909	427522.3022557356
910	427523.5495285678
911	427524.7926991212
912	427526.03178486624
913	427527.2668040983
914	427528.4977745032
915	427529.724713623
916	427530.9476391792
917	427532.1665684987
918	427533.3815192671
919	427534.59250841674
920	427535.7995532746
921	427537.00267116737
922	427538.20187866886
923	427539.3971930342
924	427540.5886310519
925	427541.7762094752
926	427542.9599448057
927	427544.13985372474
928	427545.3159525547
929	427546.4882578333
930	427547.65678588295
931	427548.8215527749
932	427549.9825746524
933	427551.1398677301
934	427552.29344768496
935	427553.4433304804
936	427554.5895319727
937	427555.73206791026
938	427556.8709535035
939	427558.0062048236
940	427559.1378369377
941	427560.2658653788
942	427561.3903052497
943	427562.5111721554
944	427563.62848055287
945	427564.7422461189
946	427565.8524835616
947	427566.95920780435
948	427568.0624334477
949	427569.16217552265
950	427570.2584483785
951	427571.3512669745
952	427572.4406453732
953	427573.5265982468
954	427574.60913987295
955	427575.6882846011
956	427576.7640464577
957	427577.8364397922
958	427578.90547845175
959	427579.97117642703
960	427581.03354770876
961	427582.09260610817
962	427583.1483652213
963	427584.20083932584
964	427585.2500410852
965	427586.29598466936
966	427587.3386835308
967	427588.3781508353
968	427589.41440014285
969	427590.447444619
970	427591.47729753715
971	427592.5039718116
972	427593.5274806798
973	427594.54783719964
974	427595.56505421374
975	427596.5791444932
976	427597.59012113186
977	427598.5979963266
978	427599.6027832789
979	427600.6044945087
980	427601.6031422488
981	427602.5987391985
982	427603.59129773395
983	427604.5808301241
984	427605.5673489605
985	427606.55086593784
986	427607.5313937912
987	427608.5089440361
988	427609.48352929996
989	427610.45516116987
990	427611.42385162774
991	427612.38961265504
992	427613.3524560545
993	427614.31239319773
994	427615.26943631767
995	427616.22359664284
996	427617.17488579615
997	427618.1233154723
998	427619.0688969358
999	427620.01164148655
